volume,number,title,date_subject,date_published,graphics,physical,subject,location,abstract,notes,catalog_date,catalog_by,date_entered,date_modified,source_file
Volume 1,11,Masonic night,1938-02-01,,,5x11 8pp CPS 2,"[""SONGS"", ""ORG ORDER OF THE EASTERN STAR""]","[""MASONIC ORDERS""]",,One sheet missing from second copy,"McGill, Apr. 23, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,12,Status of Falls Church massage parlor litigation.,1971?,,,8x11 CPS 2,"[""MASSAGE PARLORS"", ""SUITS (LAW)""]","[""MASSAGE PARLORS""]",,"This is an open letter to ""Voter""","McGill, Apr. 23, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,13,"An ordinance to amend Chapter 19, ""Massage salons, health clubs, etc.,"" of the Code of the City of Falls Church, Virginia, by amending and reenacting Sect. 19-1, ""Definitions,"" to add exclusion of myotherapist.",1988-03-28,1988-05-08,,8xl1,"[""ORDINANCES, MUNICIPAL""]","[""MASSAGE PARLORS""]",,,"McGill, Apr. 23, 1991",,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,14,Continuity.,"July 22,1975",,,150 words,"[""MASSAGE PARLORS""]","[""MASSAGE PARLORS""]",,,"McGill, Apr. 23, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,15,"...natural features, parks, recreation and open space.",1984-05-14,,Map: Public parks and open space,8x11,"[""LAND USE"", ""WEST END PARK"", ""HAMLETT-REES PROPERTY"", ""FOUR MILE RUN"", ""BOY SCOUT LODGE"", ""STR PINE ST"", ""ANNANDALE RD W""]","[""MASTER PLAN""]",,,"McGill, Apr. 23, 1991",,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,16,..housing.,1984-06-11,,,,"[""HOUSING"", ""LAND USE""]","[""MASTER PLAN""]",,,"McGill, Apr. 23, 1991",,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,17,Limited annual review of the Master Plan.,1980-08-18,,,,"[""BEESON PROPERTY"", ""MADISON SCHOOL"", ""WHITEHALL"", ""OLD BRICK HOUSE"", ""STR ANNANDALE RD W""]","[""MASTER PLAN""]",,,"McGill, Apr. 23, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,18,...comprehensive community-wide Master Plan amendment.,"1978-03-27 DO Douglas, Henry H.",,"Illus, maps",23pp,[],"[""MASTER PLAN""]",,,"McGill, Apr. 23, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,19,"Solid waste management plan for the City of Falls Church. STI Extract: Proceedings of the regular meeting of the City Council...May 13,1991. Appendix 1, Public participation. Appendix 2, Markets for recycled material. Appendix 3, Disposal agreement (Letters between Fairfax County and City.) (Copy 2) Appendix 4, Glossary of terms. Addendum to solid waste management plan--reporting of combined recycling information. (Copy 2)",Apr. 1991,,"Graphs, tables CPS 2",,"[""REFUSE AND REFUSE DISPOSAL"", ""RECYCLING (WASTE, ETC.)""]","[""REFUSE AND REFUSE DISPOSAL""]",,"Copy one is ""Draft"".","McGill, Apr. 26, 1991, Aug. 6, 1991",,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,20,,1956-03-16 DO Public Library,,,,"[""LIBRARIES AND SCHOOLS"", ""LIBRARY FINES AND FEES"", ""AFRO-AMERICANS"", ""STR VIRGINIA AVE N--105""]","[""LIBRARY ARCHIVES--1956""]",,,"McGill, Apr. 29, 1991",DM DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,21,Meet your candidates for Falls Church City Council. Newsletter. A program for Falls Church.,"May3,1955",,,6 pp,"[""ELECTIONS--1955""]","[""ELECTIONS--1955""]",,,"McGill, Apr. 29, 1991",DM DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,22,,"Nov.2, 1954",1954-10-05,,,"[""ELECTIONS--1954"", ""MUNICIPAL BONDS"", ""SCHOOLS"", ""WATER SYSTEM""]","[""ELECTIONS--1954""]",,,"McGill, Apr. 29, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,23,Notice of election. Notice of hearing on the official list of the names of registered qualified voters who are also freeholders in the City of Falls Church.,"Feb. 23,1954",,,13pp,"[""FREEHOLDERS"", ""AFRO-AMERICANS"", ""ELECTIONS""]","[""ELECTIONS--1954""]",,There is a list of colored frecholders on page 13.,"McGill, Apr. 29, 1991",DM DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,24,The fight for home rule in Falls Church. Endorsement of Van Meter for City Attorney.,"July 14,1951",,,10pp,"[""HOME RULE"", ""CITY ATTORNEY"", ""ELECTIONS--1951""]",[],,,"McGill, Apr. 29, 1991",DM DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,25,Statement by Mr. Van Meter.,1949-01-01,,,1p,"[""ELECTIONS"", ""COMMISSIONER OF THE REVENUE""]","[""ELECTIONS--1949""]",,,"McGill, Apr. 30, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,26,Platform,"June 14,1938 June 13, 1939",,,,"[""ELECTIONS"", ""STR CHERRY ST"", ""ORG CITIZEN'S NON-PARTISAN ASSOCIATION""]","[""ELECTIONS-- 1930'S""]",,,"McGill, Apr. 30, 1991",DM DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,27,Election held at Falls Church for commissioner of revenue to fill the vacancy occasioned by the resignation of Joseph Styles.,1866-03-08,,,8x29,"[""ELECTIONS"", ""COMMISSIONER OF THE REVENUE""]","[""ELECTIONS--COMMISSIONER OF THE REVENUE--1866""]",,,"McGill, Apr. 30, 1991",D-W,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,28,The 504 Report.,1990-01-01,,Photos,,"[""SMALL BUSINESS ADMINISTRATION""]","[""504 REPORT""]",,"Cannot locate this report in files. (Mar. 25, 1997)","McGill, May 1, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,29,,"Sep.23,1981",,,,"[""911"", ""CITY MANAGER, ACTING""]","[""sfoll""]",,Eckert is the author of the cover letter.,"McGill, May 1, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,30,How our acetylene gas lighting system worked.,1920's (?),Mar. 1977,Illus,3pp,"[""ELECTRIC GENERATORS""]","[""ACETYLENE GENERATOR""]",,,"McGill, May 1, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,31,Northern Virginia and the roots of army aviation.,1861-1912,1984-10-26,,,"[""AERONAUTICS--HISTORY"", ""BALLOONS AND BALLOONING"", ""FORT MYER"", ""STR WELCOME DR--2717""]","[""AERONAUTICS""]",,,"McGill, May 1, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,32,,"1972-01-01 1977 DO Douglas, Henry H.",,,Two multi-page releases with cover letter,"[""HISTORIC SITES""]","[""AFRO-AMERICAN BICENTENNIAL CORPORATION""]",,,"McGill, May 1, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,33,The Falls Church Colored School.,1948-01-01,1985-01-01,Photo,,"[""AFRO-AMERICANS""]","[""AFRO-AMERICANS--HISTORY""]",,,"McGill, May 1, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,34,The Negro Church in Falls Church.,1860-,1920(?),,"Photocopy, 3 pp of a larger work",[],"[""AFRO-AMERICANS--HISTORY""]",,,"McGill, May 1, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,35,,1919-02-04,,,"Photocopy, I p","[""AFRO-AMERICANS""]","[""AFRO-AMERICANS--HISTORY""]",,Second Baptist Church was so named because the Columbia Baptist Church was the first Baptist church in the community.,"McGill, May 1, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,36,History of the Fairfax County Branch of the NAACP.,Oct. 1965,,Photos,l6pp,"[""SCHOOL INTEGRATION"", ""DISCRIMINATION IN HOUSING--1915"", ""ORG COLORED CITIZENS PROTECTIVE LEAGUE""]","[""AFRO-AMERICANS--HISTORY""]",,,"McGill, May 1, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,37,,1984-05-13,,City seal,8XI11 in envelope,"[""SENIOR CITIZENS WEEK""]","[""AGED""]",,,"McGill, May 1, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,38,"Community support for subsidy for 80, one bedroom units in Winter Hill (formerly Tyler Gardens) Falls Church City Planning Commission resolution in support of rental subsidy for low income elderly and/or handicapped persons in Winter Hill (formerly Tyler Gardens)",1975-07-03,,,,"[""AGED--DWELLINGS""]","[""AGED--DWELLINGS--WINTER HILL""]",,,"McGill, May 1, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,39,,1961-11-30,,,7 pp,"[""ALL AMERICA CITY"", ""SCHOOL INTEGRATION"", ""DESCRIPTION AND TRAVEL""]","[""ALL AMERICA CITY-1961-1962""]",,,"McGill, May 1, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,40,Madison News,Nov. 1937 (?),,Illus.,"8x11, ditto copy, 28 leaves","[""MADISON SCHOOL""]","[""MADISON SCHOOL--1930-1939--MADISON NEWS"", ""LBL MADSION SCHOOL--1930-1939--MADISON NEWS""]",,,"McGill, May 2, 1991",DM,2016-03-07,,General_Index_FCHR_Vol_1
Volume 1,41,Jaguar,1933-12-18,,Illus,"8xI1, mimeographed, 18 leaves 20","[""JEFFERSON HIGH SCHOOL"", ""SCHOOLS""]","[""JEFFERSON HIGH SCHOOL--1930-1939--JAGUAR""]",,,"McGill, May 2, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,42,Jeffersonian,1936-01-01,,"Illus, photos","8x11, mimeographed, 27 leaves","[""JEFFERSON HIGH SCHOOL"", ""SCHOOLS""]","[""JEFFERSON HIGH SCHOOL--1930-1939--JEFFERSONIAN""]",,,"McGill, May 2, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,43,Jeffersonian,1937-01-01,,"Illus, photos","8x11, mimeographed, 23 leaves","[""JEFFERSON HIGH SCHOOL""]","[""JEFFERSON HIGH SCHOOL--1930-1939--JEFFERSIONIAN""]",,,"McGill, May 2, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,44,Jaguar,1936-12-14,,Illus,"8x11, mimeographed","[""JEFFERSON HIGH SCHOOL"", ""SCHOOLS""]","[""JEFFERSON HIGH SCHOOL--1930-1939--JAGUAR""]",,Many personal names the same as in Jeffersonian yearbook of 1937.,"McGill, May 2, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,45,Health care decisions. STI The living will and durable medical power of attorney.,1991-01-01,,,11 leaves 23,"[""DISEASES"", ""STR LITTLE FALLS ST--140"", ""ORG ALZHEIMER'S ASSOCIATION""]","[""ALZHEIMER'S DISEASE""]",,,"McGill, May 6, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,46,Virginia's living will and medical power of attorney. STI Living will declaration.,Aug. 1990,,,2pp,"[""MEDICAL ETHICS""]","[""ALZHEIMER'S DISEASE""]",,,"McGill, May 6, 1991",DM,2016-03-07,,General_Index_FCHR_Vol_1
Volume 1,47,Sally.,,,,,"[""AMATEUR THEATER""]","[""AMATEUR THEATER""]",,,"McGill, May 6, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,48,Dirty work at the crossroads. 24,Sep. 1947,,,8pp OT Ad,"[""AMATEUR THEATER"", ""MADISON SCHOOL AUDITORIUM"", ""EAST FALLS CHURCH"", ""STR WASHINGTON ST S--445"", ""BROAD ST E--107"", ""LEE HWY--6868"", ""BROAD ST & WASHINGTON ST"", ""BROAD ST & WASHINGTON ST"", ""WASHINGTON ST S--439"", ""BROAD ST E--104"", ""LEE HWY--6873"", ""WASHINGTON ST S--438"", ""HILLWOOD AVE--30"", ""LEE HWY--6900"", ""LEE HWY--6829"", ""BROAD ST W--118"", ""WASHINGTON ST S--112"", ""BROAD ST--101"", ""BROAD ST W--1053"", ""HILLWOOD AVE--154"", ""WASHINGTON ST S--188"", ""WASHINGTON ST N--104"", ""WASHINGTON ST S--589""]","[""AMATEUR THEATER"", ""25""]",,,"McGill, May 6, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,49,Puss in boots.,1969-10-17,,Illus,Orange and black,"[""AMATEUR THEATER"", ""STR LEE HWY--7634"", ""BROAD ST W--419"", ""BROAD ST W--238"", ""BROAD ST W--1001"", ""BROAD ST W--1049"", ""LEE HWY & WASHINGTON BLVD"", ""MAPLE AVE S--315"", ""BROAD ST W--815"", ""LEE HWY--7175"", ""WASHINGTON ST S--404"", ""BROAD ST E--126"", ""BROAD ST W--116"", ""WASHINGTON ST S--439 (REAR)"", ""WASHINGTON ST S-131"", ""BROAD ST W--348"", ""LITTLE FALLS ST--200"", ""WASHINGTON ST N--124"", ""HILLWOOD AVE--306"", ""FAIRFAX ST E--116"", ""BROAD ST W--226"", ""BROAD ST W--934"", ""HILLWOOD AVE-154"", ""FAIRFAX ST E--102A"", ""BROAD ST W & MAPLE ST S"", ""WASHINGTON ST S--626"", ""HILLWOOD AVE-161"", ""GORDON RD--217"", ""ROGERS DR--2843"", ""LEE HWY--7209"", ""FAIRFAX ST E--203"", ""BROAD ST W--1051"", ""BROAD ST W--800"", ""BROAD ST W--1222"", ""HILLWOOD AVE-152"", ""BROAD ST W--700"", ""LEE HWY--7257"", ""FAIRFAX DR N--6908"", ""BROAD ST W--225"", ""MAPLE AVE S--400"", ""LEE HWY--7161"", ""WASHINGTON ST S--702""]","[""AMATEUR THEATER"", ""27""]",,The following names of businesses in NAMEC correspond numerically with addresses in STREET. 1966 Mustang yearbook places Apollo Restaurant at 607 S. Washington St. Is this the same location as 7161 Lee Hwy?,"McGill, May 6, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,50,5th annual historic homes tour STI Springtime in the homes of Falls Church,1991-05-19,,"Etchings, map","8x14 (22x36), black on yellow","[""HISTORIC SITES"", ""HISTORIC BUILDINGS"", ""STR FOREST DR--212"", ""BROAD ST E--312"", ""WRENS WAY--308"", ""FAIRFAX ST E--115"", ""PARK AVE--312"", ""WALDON CT--502"", ""MERIDIAN ST & WEST ST"", ""SPRING ST S-128""]",[],,,"McGill, May 9, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,51,"Carving out the District of Columbia. STI 'Geometry, the noblest of sciences': freemasons and the formation of the District of Columbia. The founders' idea of the capital. The paradox of the modern capital. Community identity in the capital's suburbs. Alexandria through the eyes of Benjamin Banneker.","Apr.-June 1991 DO Terman, Maurice",,Map,"11x17 (28x43), red and dark blue on fuzzy white","[""LECTURES AND LECTURING"", ""ANNIVERSARIES"", ""BOUNDARY STONES"", ""DISTRICT OF COLUMBIA BICENTENNIAL""]","[""Low map case""]",,,"McGill, May 9, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,52,Tough enough. STI The cocaine investigation of United States Senator Chuck Robb.,1991-05-01,,"Photo, illus",3 pp,"[""DRUG ABUSE""]","[""AUTHORS""]",,,"McGill, May 13, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,53,"The Mary Riley Styles Library, Falls Church, Virginia.",1987-10-22,,,"27 pp, 17x11 (44x28), scale 1"" = 100""","[""LIBRARY SITE"", ""PARKING"", ""CITY HALL COMPLEX SITE"", ""STR VIRGINIA AVE & PARK AVE"", ""PARK AVE, LITTLE FALLS ST & GREAT FALLS ST""]","[""Map case--VIRGINIA AND PARK AVES""]",,,"McGill, May 13, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,54,Lee Ridge,1925-06-13,,Map,"Blueprint, 19x10 (50x25) scale 1"" = 100""","[""ARLINGTON COUNTY"", ""STR HAMPDEN ST"", ""LEE HWY"", ""JEFFERSON ST""]","[""Map case""]",,,"McGill, May 13, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,55,"Washington, the nation's capital. STI Your nation's capital, Washington, D.C. metropolitan area",1956-01-01 DO Henry H. Douglas,,Photos Map,"Multicolor, 45x33 (116x86), scale 3"" = 1 mi","[""HISTORIC BUILDINGS""]","[""Map case--WASHINGTON, D.C.""]",,,"McGill, May 13, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,56,Northern Virginia Street Map,1973-01-01 DO Henry H. Douglas,,Map,"Blue, white and black, 49x37 (127x95), scale 3"" = 1 mi","[""NORTHERN VIRGINIA""]","[""Map case""]",,,"McGill, May 13, 1991",DM/DW,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,57,Hansel & Gretel,"1967-10-20 Nov. 30, 1967 DO Meese, Harry",,Illus,Yellow and black,"[""AMATEUR THEATER"", ""STR PARK AVE--111"", ""PARK AVE--205"", ""BROAD ST W--244"", ""BROAD ST W--1116"", ""BROAD ST E--108"", ""WASHINGTON ST N--128""]","[""AMATEUR THEATER""]",,There is a letter of transmittal from Conlon to Meese with the program.,"McGill, May 14, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,58,Campus quarantine.,"Apr. 25,1947",,,"Black and white, 3 leaves","[""AMATEUR THEATER"", ""STR WASHINGTON ST S--626"", ""BROAD ST W--118"", ""BROAD ST W--1059"", ""LEE HWY--6847"", ""LEE HWY [SIC] S--140"", ""LEE HWY [SIC]--336"", ""WASHINGTON ST N--554"", ""WASHINGTON ST N--501"", ""WASHINGTON ST S--445"", ""WASHINGTON ST N--120"", ""LEE HWY--5353"", ""LEE BLVD [ARLINGTON BLVD] & WILSON BLVD"", ""BROAD ST & WASHINGTON ST""]","[""AMATEUR THEATER""]",,Ad for FC Dept Store says this is a new location. Could be 1059 W. Broad St. Church Beauty Salon says it is across from The Falls Church. Should street be Washington S$? Same question for M. T. Boone.,"McGill, May 14, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,59,A Minstral Show.,nd.,,,"2 pp, 8x14","[""AMATEUR THEATER""]","[""AMATEUR THEATER""]",,,"McGill, May 15, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,60,Mother of twins auction.,1984? DO Northern Virginia Sun,,Photoprint,"B/W, 8x10 33",[],"[""AMERICAN LEGION""]",,,"McGill, May 15, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,61,Falls Church Chapter 761.,"Feb. 1984 DO Douglas, Henry H.",,,1p,[],"[""AMERICAN ASSOCATION OF RETIRED PERSONS, INC.""]",,,"McGill, May 15, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,62,"History of the Virginia-District of Columbia-Maryland Chapter STI American Public Works Association, 1956-1976.",1976-12-22,,Photos 34,"vi, 79 pp","[""PUBLIC WORKS"", ""ORG AMERICAN PUBLIC WORKS ASSOCIATION""]","[""AMERICAN PUBLIC WORKS ASSOCIATION""]",,There are numerous group photos with Mr. Frady. He was a very active member and held leadership positions.,"McGill, May 15,1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,63,Report by the City Attorney on the trial of the annexation suit.,1955?,,,"Faint carbon copy; 8x14, 8 pp with 6 pp appended","[""ANNEXATION (MUNICIPAL GOVERNMENT)""]","[""ANNEXATION (MUNICIPAL GOVERNMENT) CIRCA 1955""]",,,"McGill, May 15, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,64,The Village Crier.,July 1949,,"Illus, photos","B/W, 8x11, 12pp OT Ad","[""ANNEXATION (MUNICIPAL GOVERNMENT)"", ""STR BROAD ST W--131"", ""BROAD ST W--100"", ""LEE HWY--801 (AT CAMERON E)"", ""LEE HWY--613"", ""LEE HWY--727"", ""HILLWOOD AVE-1114"", ""LEE HWY--617"", ""ROSEMARY LN--122"", ""WASHINGTON ST S--621"", ""LEE HWY--607"", ""WASHINGTON ST S--118"", ""LEE HWY--6829"", ""LEE HWY--101 AT BROAD ST""]","[""ANNEXATION (MUNICIPAL GOVERNMENT)--1949""]",,,"McGill, May 15, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,65,"In memoriam. STI Resolutions adopted by the Falls Church, Virginia Methodist Episcopal Sabbath School.","Nov. I, 1885",,,12x19 (32x49),"[""MEMORIALS""]","[""Map case""]",,,"McGill, May 18, 1991 36",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,66,Intergenerational conference.,"1988-05-13 May 24, 1988 DO Netherton",,,3 pieces,"[""GEORGE MASON JR/SR HIGH SCHOOL--STUDENTS"", ""NATIONAL HONOR SOCIETY"", ""STR VIRGINIA AVE N--306""]","[""INTERGENERATION""]",,,"McGill, May 20, 1991",DM,2016-03-07,,General_Index_FCHR_Vol_1
Volume 1,67,State Theatre.,1935-01-01,,Sketch,"Black on transparent buff with colored backing, 19x22 (50x56)","[""MOVING-PICTURE THEATERS"", ""STR WASHINGTON ST N--220""]","[""Low map case""]",,,"McGill, May 21, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,68,"Historic residents of Fairfax County. STI Lord Fairfax and family crest. Alexandria and artist's vision of Margaret Brent, Gent. Jones [Thomas ap Catesby] and his farm Sharon. Hallowell, Benjamin. [Foote] Frederick, senior and Frederick, junior. Susan Hetzel and the unveiling of George Washington memorial plaque at Great Falls. Joseph Willard and Layton Hall. Pictured is Anna Marie [Goldborough Fitzhugh] at various ages. Miss Millan and Legato School. Edwin Bancroft Henderson with his mother and baby brother and in adulthood. H. B. Derr doing field study and a local 4-H group. Miss Mattie Gundry and the Falls Church.",1987-01-01,,Calendar sketches,"Black, white and copper, 16x22 (40x58)","[""BIOGRAPHY""]","[""Low map case""]",,,"McGill, May 21, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,69,Falls Church Garden Club's 9th annual flower and garden show.,"Sep. 20, [1958]",,Poster,"Green on buff, 14x22 (36x56) CPS 2","[""EXHIBITIONS"", ""ORG FALLS CHURCH GARDEN CLUB""]","[""Low map case""]",,Year 1958 ascertained from program in Garden Club 1958 scrapbook.,"McGill, May 21, 1991",DM,"March 07,2016 38",,General_Index_FCHR_Vol_1
Volume 1,70,Store (?),1937-01-01,,Photoprint,"B/W, 7x9 (18x23)","[""CHURCHES"", ""WASHINGTON HOUSE"", ""STR WASHINGTON ST N--222"", ""ORG WOMAN'S CLUB OF FALLS CHURCH""]","[""rf WASHINGTON ST N--222"", ""PR $19.34""]",,"Bought from Artist's Proof, Tyson's Corner Center. Pictured in 1993... calendar, on cover and May.","McGill, May 21, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,71,GM--our past-our future.,1991-05-01,,,"Red and black on white, 8x14","[""GEORGE MASON JR/SR HIGH SCHOOL--RENOVATION"", ""ELECTIONS"", ""REFERENDA""]","[""rf LEESBURG PIKE--7124""]",,,"McGill, May 23, 1991",DM,"March 07,2016 39",,General_Index_FCHR_Vol_1
Volume 1,72,Deed of trust.,1831-06-21 DO Birch via Henry H. Douglas,,,,"[""REAL PROPERTY"", ""AFRO-AMERICANS""]","[""Low map case""]",,,"McGill, May 23, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,73,"Town of Falls Church, Virginia. Atlas of fifteen miles around Washington, D. C.",1878-01-01,1976-01-01,"Sketches, map","Black on white, 11x17 (28x44)","[""HISTORIC HOUSES""]","[""Low map case""]",,Meant to be a table placemat.,"McGill, May 23, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,74,,"1984-11-22 Nov. 27, 1984",,,"2 pp. 8x14; 1p., 8x10","[""ROLLINS HOUSE"", ""MERRILL HOUSE APARTMENTS"", ""STR GREAT FALLS STREET"", ""KIRBY RD"", ""LEE HWY"", ""FAIRFAX ST E--115"", ""WASHINGTON ST N--125"", ""FAIRFAX ST E--210""]","[""rf WASHINGTON ST N--125""]",,,"October 30, 2008",,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,77,Grand opening!,1991-06-01,,,"Black and white, 8x11","[""RECYCLING (WASTE, ETC.)"", ""STR MAPLE AVE S""]","[""RECYCLING (WASTE, ETC.)""]",,,"McGill, May 28, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,78,You can help provide affordable housing in Falls Church City.,[1991],,"Photos, illus","Brown and buff, 4x8 CPS 3","[""HOUSING""]","[""FALLS CHURCH HOUSING CORPORATION""]",,,"McGill, May 28, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
