grantee,acreage,county,date,snippet
LAS,600,Lancaster,1662-01-01,"LAS, 600 acs. Northampton Co., 16 Apr. 1657, p. 88, (128). On S. side of Old plantation Cr., Wly. on same & land of Thomas Burdett, Sly. on land of Mr. Edward Littleton & Nly. on his own land. Trans, of 12 pers: Wm. Prichard, Robt. Bowlson, Wm. Barrett, Alice Staples, Alice Alsop, Jno. Powell, Gilb. Couling, Hugh Eglestone, Charles Hollingworth, Marian Cole, Thomas Poynter, Wm. Miller. ROBERT, THOMAS & WILLIAM MOSSE, Brothers, 800 acs. Lancaster Co., 12 Apr. 1657, p. 88, (128). On S. side the fr..."
MRS. MARY BRENT,1250,Westmoreland,1662-01-01,"MRS. MARY BRENT, 1250 acs. Westmoreland Co., 25 May 1657, p. 91, (133). On S. side of Petomack Riv. 600 acs. part being a patent dated 11 Sept. 1653, bounded N. W. by N. upon Mathias Point, S. W. by S. to land of Mrs. Jones, etc. 650 acs. beg. at the mouth of a gutt in a marsh which divides this from land of Jno. Jenckin, which was granted unto Richard Browne 22 Mar. 1654 & assigned unto Giles Brent, Esqr., who assigned same unto said Mary Brent. Renewed 28 Nov. 1662."
HENRY FOOTMAN,300,Westmoreland,1662-01-01,"HENRY FOOTMAN, 300 acs. West- moreland Co., no date, p. 91, (134). On S. side of Oquio Riv., S. S. E. on a swamp dividing this & land of Mr. Pattent & W. S. W. upon land of Rich- ard Codsford. Granted unto Edward Parker 10 June 1654 & assigned unto sd. Footman, which assignment was acknowledged in Westmoreland Court on 31 Mar. last by Thomas Wilsford, Atty. of sd. Parker. Renewal. GILES BRENT, Esqr., 1340 acs. Westmoreland Co., 25 May 1657, p. 92, (134). 1040 acs. by patent dated 20 Aug. 1651 & ..."
NATHANIELL BROWNE,250,Lancaster,1662-01-01,"NATHANIELL BROWNE, 250 acs. Lancaster Co., 1 June 1657, p. 93, (137). On N. side of Rappa. Riv. at a place formerly 346 Cavaliers and Pioneers known by the name of Deepe Creeke, Sly. upon land of Mr. Thomas Powell. Due by part of the rights of a patent of 300 acs., dated 27 July 1652, unto David Fox, who assigned same to them. Renewed 18 Mar. 1662."
CHARLES EDMONDS,730,Lancaster,1662-01-01,"CHARLES EDMONDS, 730 acs. New Kent Co., 29 June 1657, p. 101, (151). Adj. his own land, running to land of Geo. Smith, by tancks Pasbe- haies feild & Cattaile Swamp. Trans, of 15 pers: Jno. Clerke, Tho. Maddin, Nicho. Dewes, Rebecca Clerke, Tho. Burton, Ra. Wms. (Williams), Ann Clerke, An Savage, Mary Savage, Ann Mitchell, Wm. Bartlett, Robert Tuck, Paul Ceser, Tho. Wms., Wm. Tuck. Renewed 18 Mar. 1662. DOMINICK FERRIATT, of Coroto- man, in Lancaster Co., 1600 acs., 2 June 1657, p. 102, (152). A..."
WM. LIPPEATE,400,Lancaster,1662-01-01,"WM. LIPPEATE, 400 acs. in Lancaster Co., 1 Sept. 1657, p. 130, (193). Upon Fleete's Bay, beg. at the mouth of Haddawaies Cr., run- ning to mouth of Corotomon Cr. Trans, of 8 pers: Teage Flide & Eliz. his wife, Robert Milliscent, Jno. Braddie, Alice Juxon (?), Constant Harrwood, Henry Barten, Giles Kinge. Assigned unto Hugh Brent, who assigned one half to Eppy. Bonnison, & renewed in their names 18 Mar. 1662."
MR. RICHARD FLINTE,150,Northumberland,1662-01-01,"MR. RICHARD FLINTE, 150 acs. Northumberland Co., 26 Sept. 1657, p. 131, (193). At N. W. side of Yoeco- mocoe Riv., N. Wly. upon land of Tho- mas Shepard & James Cloughton. Trans, of 3 pers: Elizabeth James, Margaret Davis, Joane Pawly. Assigned unto Thomas Beagles & renewed 18 Mar. 1662."
EDWARD MOALSON,50,Northumberland,1662-01-01,"EDWARD MOALSON, 50 acs. in County & Parish of Yorke, 25 Nov. 1657, p. 132, (194). Adj. land of Wm. Hawkins & Samuell Tucker. Trans, of 1 per.* Renewed 18 Mar. 1662. RICHARD WHITE, Cooper, 500 acs. Lancaster Co., 2 Dec. 1657, p. 132, (195). Opposite to Nansemond Towne, N. E. upon land of Mr. Charles Grimes, S. W. upon Abraham Moone & S. E. upon Rappa. Riv. Renewal of patent dated 12 Dec. 1654. WILLIAM BACON, Gent., 250 acs. Northumberland Co., 28 Aug. 1657, p. 132, (195). In Yeocomocoe, running E..."
RICHARD HOLDINGE,525,Northumberland,1662-01-01,"RICHARD HOLDINGE, 525 acs. Northumberland Co., 28 Aug. 1657, p. 135, (199). In Yeocomocoe Necke. 450 acs. by assignment from Edward Walker & residue for trans, of 2 pers.* Renewed 30 Oct. 1662."
ALPHONSO BALL,350,Stafford,1662-01-01,"ALPHONSO BALL, 350 acs. North- ampton Co., 31 Mar. 1658, p. 139, (205). Wly. upon marked trees of Richard Smith in Capt. Thomas' Neck, Sly. upon land of Wm. Taylor & Nly. towards Pungoteague. Trans, of 7 pers: Ellinor Collins, Ann Cooke, Wm. Scott, Sam. Younge, Rich. Nuttingham, Eliz. Nuttingham, Step. Yeo. MR. THOMAS TEAGLE, Minister, 200 acs. Northampton Co., 31 Mar. 1658, p. 139, (205). Between Nan- dewe & Caratocke Creeks, the main bay on the W., land of Jenkin Price now in possession of Joh..."
ROBERT PRIDDY,400,Northumberland,1663-01-01,"ROBERT PRIDDY, 400 acs. on S. side of Yorke Riv, New Kent Co., 8 June 1658, p. 152, (222). Bounded with land John Butler, Mr. Joseph Croshaw & Mr. Anthony Langstone. Granted unto Robert Priddy 28 June 1655. Renewed 11 Feb. 1663 in name of Tho. Flaunders. FRANCIS CLAY, gent., 200 acs. Northumberland Co., 8 June 1658, p. 152, (222). Upon S. side of Herringe Cr., upon a Western branch dividing this & land of Mr. Yeo, & extending along head of Major Georg Read's land. Renewal of patent in his name d..."
THOMAS BROUGHTON,288,Northumberland,1662-01-01,"THOMAS BROUGHTON, 288 acs. Northumberland Co., 23 Mar. 1657, p. 165, (245). N. E. towards land of John Mattrom, gent. Granted unto Hugh Lee, 22 Apr. 1654, by him de- serted & now granted for trans, of 6 pers: William O Kelly, Mary Smith, Rich. Symons, one Irishman, Edward Darby. SAME. 300 acs. in same county. 1 Dec. 1657, p. 166, (246). Upon the head of the broad Cr., between Yeoco- moco & Metopony Rivers, N.Wly. upon land of Anthony Lenton & S. Ely. upon land of Lawrence Dameron. Granted unto W..."
HENRY PEYTON,400,Lancaster,1662-01-01,"HENRY PEYTON, 400 acs. West- moreland Co., 1 Nov. 1657, p. 170, (255). On S. side of Petomeck Riv. knowne by the name of Sandy or Rag- gett point opposite to the Doegs present plantation. Granted unto Richard Cods- ford 6 Sept. 1654 & assigned unto sd. Peyton & due by new rights for trans, of 8 pers.* Assigned unto Timothy Greene 18 Mar. 1662. EDWIN CONAWAY, gent., 2500 acs. Lancaster Co., (no date) p. 171, (255). On the S. E. side & nigh the head of Corotoman Riv., running to corner oake standi..."
STEPHEN NORMAN,1200,Westmoreland,1662-01-01,"STEPHEN NORMAN, 1200 acs. Westmoreland Co., 24 Nov. 1657, p. 182, (270). 800 acs. S. S. W. on land of Nicholas Lambsdon & running to upper head of Machotix Riv. 400 acs. adj. their own. land. Renewal of patent dated 16 July 1654. Renewed 18 Mar. 1662 in name of Jno. Williams & Edward Prescott, to whom it was assigned by sd. Norman."
MR. HENRY VINCENT,650,Stafford,1660-01-01,"MR. HENRY VINCENT, 650 acs. in Patomeck freshes opposite (but some- thing below) Pascatoway Cr., upon the lower side of a small cr., S.Ely, upon sd. river, N.Ely, upn sd. small creek which ""wee supposeth divides from the land of Capt. Brent or his sonne or sister"" &c. 16 Sept. 1657, p. 196, (286). Trans, of 3 pers.* Note: This land is granted to Capt. Peter Jennings 17 Oct. 1660."
MR. JOHN EDWARDS,118,Lancaster,1665-01-01,"MR. JOHN EDWARDS, 118 acs. Lancaster Co., 30 May 1657, p. 205, (299). Between Rappa. & Corotoman Rivers & running to marked trees of Capt. Hackett. Trans, of 3 pers: John Edwards, Mary Edwards, Leonard Cac- cott (?). Deserted by sd. Edwards & granted 14 Oct. 1665 in name of Mr. David Fox. Note: The 3 names fol- lowing appear on the margin of this record & no doubt represent the head- rights of sd. Fox. Symon Commick, Jno. Brooks, Wm. Cassell."
VINCENT STANFORD,1000,Lancaster,1662-01-01,"VINCENT STANFORD, 1000 acs. Lancaster Co., 1 June 1657, p. 205, (300). Upon N. side of Rappa. Riv., running by devdt. surveyed for Capt. Daniell Gookins, & on a N. W. branch of Corrotoman Riv. 400 acs. granted unto John Phillipps 13 July 1653 & by Col. Fontleroy, Adm'r., assigned to sd. Stanford & 600 acs. for trans, of 12 pers: Robert Cornelius, Tho. Mims, Roger Smith, Tho. Hubbard, 2 Negroes. Renewed 18 Mar. 1662."
TON,600,Lancaster,1663-01-01,"TON, 600 acs. Lancaster Co., 15 Sept. 1658, p. 217, (314). Beg. on head of Sanderland Cr., N.W. upon Thomas Paddison & S.W. upon the great swampe, Trans, of 12 pers.* Note: Sd. Midleton assigned his share unto sd. Willis & patent renewed 16 Feb. 1663."
JOHN LINGE,300,Lancaster,1662-01-01,"JOHN LINGE, 300 acs. James City Co., 6 Oct. 1658, p. 219, (316). On N. side of Chickahominy Riv., beg. at the head of a branch of Tyascond neere the great Indian feild nigh land of Margarett Barrett. Renewal of patent dated 1 Apr. 1655 & due for trans, of 6 pers.* Renewed 7 Feb. 1662 & 70 acs. added. WILLIAM BUCHER (Butcher), 300 acs. Lancaster Co., 5 Mar. 1658, p. 220, (317). On the head of Peanketanke Riv. Beg. by the great swamp side near a place known by the name of the deep Landing, running..."
THOMAS WILKINSON,6000,Stafford,1662-01-01,"THOMAS WILKINSON, 6000 acs. above the head of Patomeck Cr., beg. at westermost corner of land of Mr. Merriweather now in the tenure of Nicholas Russell. 10 June 1658, p. 222, (320). Trans, of 120 pers: Robert Dennett, Thomas Lyne, Susan Symson, Richard Jones, Sam. Jones, Jeffery Steele, Hum. London, Retrun Garrett, Sara Hanker (or Hauker), Easter Hauker (?), Prudence Moone, Frances Moone, 10 Negroes from Mr. Bennett, 6 Negroes in the Roe Bucke, Henrick Denton, James Roe, Joane Roe, Wm. Roe, Dama..."
CAPT. RICHARD BUDD,200,Northumberland,1662-01-01,"CAPT. RICHARD BUDD, 200 acs. Northumberland Co., 6 Oct. 1658, p. 224, (322). S.E. upon the head of great Wiccocomocoe Riv. Renewal of patent dated 9 Mar. 1653, due for trans, of 4 pers.* Assigned to & renewed in name of Richard Lansdell 29 Jan. 1662."
JOHN VAUGHAN,1400,Stafford,1662-01-01,"JOHN VAUGHAN, 1400 acs. 8 Oct. 1658, p. 226, (324). 1200 acs. on Eastermost side of Ceder Hand Cr., beg. at the mouth thereof, running S.E. parallel to Patomeck Riv. &c. 200 acs. on S.E. side of Mr. Pope's Cr., N. E. upon land formerly patented by him & S. W. upon land of Mr. Tirrell. 1200 acs. by patent dated 19 Jan. 1649 & 200 acs. by patent dated 16 July 1654. Re- newed 18 Mar. 1662."
THOMAS STEED,600,Northumberland,1662-01-01,"THOMAS STEED, 600 acs. Northumberland Co., 24 Nov. 1658, p. 234, (333). Ely. up- on the Glade above Wiccocomocoe In- dian Towne. Trans, of 12 pers: Robert Davis, Miles Allen, Wm. Greene, Henry Clerke, John Allen, Tho. Dunn, Antho. Jones, Percy Evans, Arthur Longe, Francis Lee, Thomas Anthony Roe. Renewed 14 Oct. 1662."
GERVASE DODSON,500,Westmoreland,1662-01-01,"GERVASE DODSON, 500 acs. near the head of Chesticond or Corrotoman Cr. which issues out of Fleets Bay, S. Ely. upon his own land & land of John Taylor, deed. 29 Nov. 1658, p. 238, (337). Trans, of 10 pers: Mary Par- rott, Jno. Mason, Eliz. Attkeson, Ed- ward Harris, Barnaby Lowe, Ann Evans, Leonard Singlton, James Garrett, Tho- mas Morris, Peter Hughes. SAME. 600 acs. Westmoreland Co., same date & Page. N.Ely. upon Machoatick Riv., S.E. upon land of Mrs. Barnett & N.Wly. upon land of Capt. Thoma..."
JOHN WITHERS,320,Stafford,1662-01-01,"JOHN WITHERS, 320 acs. West- moreland Co., 18 Dec. 1658, p. 243, (342). Beg. on land of Mr. Thomas Fowke at the head of a small creek falling into Patomeck Riv. Trans, of 6 pers: James Martinge, Wm. Fisher, Robert Dennis, John Roberts, Mary Wms. (Williams), Eliz. Gorting. Re- newed 20 July 1662."
JOHN WOODINGTON,27,Lancaster,1662-01-01,"JOHN WOODINGTON, 27 acs. Lancaster Co., 15 Jan. 1658, p. 244, (343). S.Ely, upon the mouth of Corro- toman Riv., S.Wly. & N.Wly. upon Hand Neck Cr. & N.Ely, upon land of Edward Grimes, dec'd. Granted to Wm. Rawton, 15 June 1655 & assigned unto sd. Woodington. Renewed 18 Mar. 1662 in name of Domingue (or Don- ninge) Thurriot to whom it was as- signed by Wm. Wranton (or Wrauton), assignee of sd. Woodington. 384 Cavaliers and Pioneers"
JOHN GORE,150,Lancaster,1662-01-01,"JOHN GORE, 150 acs. Lancaster Co., 16 Jan. 1658, p. 248, (348). On N. side of Peanketanke Riv., S.E. upon land of Augustine Moore. Trans, of 3 pers: Sir Henry Chichley, Rich. Chamley, Jno. Layward. Assigned by Mr. Potter to Mr. Curtis, who assigned to sd. Gore. Renewed in his name 24 May 1662."
JOHN CURTIS,1300,Lancaster,1664-01-01,"JOHN CURTIS, 1300 acs. Westmore- land Co., 2 Dec. 1657, p. 251, (353). Nly. upon Patomeck Riv. & Ely. upon land of John Walton. Granted unto Nicholas Meriweather 1 June 1654 & assigned unto sd. Curtis, who assigned same to Edwa. Roe in whose name it was renewed 10 June 1664. CAPT. AUGUSTINE WARNER. 3000 acs. Northumberland or Lancaster Co., 7 Feb. 1658, p. 252, (353). Being in the borders of both, the destination being not yet made betwixt the counties. Bet. branches of Corrotoman & other branch..."
MR. PETER KNIGHT,925,Stafford,1663-01-01,"MR. PETER KNIGHT, 925 acs. in Patomeck river adj. Chapawansicke Cr., 7 Mar. 1658, p. 269, (370). Being the moiety of a patent granted to sd. Knight & Capt. Baker Cutts, 13 Oct. 1653, re- newed by order of court & for trans, of 19 pers.* Renewed 15 Mar. 1663."
JOHN BARROW,200,Northumberland,1663-01-01,"JOHN BARROW, 200 acs. Rappa. Co., 7 Mar. 1658, p. 273, (374). Beg. at land of Wm. Yarrett, running E., thence S. by E. to Cobbin Pointe. Granted to Richard Coleman, deserted & now due for trans, of 4 pers: Tho. Southerne, Daniell Usuliman (O'Sulivan ?), Teny (or Tony) Long, Derrick Arseson. Assigned to & renewed 11 Feb. 1663 in name of John Paine. SAME. 450 acs. upon Pepetticke Cr., 47 acs. beg. upon the creek side & bounding upon land of Jno. Paine. The residue neere unto the head of sd. Cr., b..."
COL. ROBT. SMITH,1299,Westmoreland,1661-02-26,"COL. ROBT. SMITH, 1299 acs. Lan- caster Co., 26 Feb. 1661, p. 280, (382). 412 acs. on N. side of Rappa. Riv., & 887 acs. beg. on the W. side of a swamp & run that issues into Pyanka- tanck Riv. 412 acs. granted to Lambert Moore & Barthol. Linton 17 Feb. 1658. Sd. Moore assigned his share to sd. Linton who assigned to sd. Smith, & the residue for trans, of 18 pers: Peter Jennings, Jno. Riggs, Eliz. Ellmore, Jno. Green, Wm. Wood, Wm. Bann, An Raignett, Eliz. Ellis, Wm. Covenant, Mathew Morris, Abe..."
MR. WM. THOMAS,300,Northumberland,1661-03-04,"MR. WM. THOMAS, 300 acs. Northumberland Co., 4 Mar. 1661, p. 293, (400). Wly. upon land of Danll. Neale, Sly. upon James Hawley, Ely. on Jno. Motley & Col. Wm. Clayborne & Nly. on Edward Coale. Trans, of 6 pers: Phill. Harwood, Jno. Wray, Roger Pinner, Robt. Salter, Thomas Panton, Edw. Plaice."
SYMON RICHARDSON,400,Northumberland,1662-01-20,"SYMON RICHARDSON, 400 acs. Northumberland Co., 20 Sept. 1662, p. 293, (400). Beg. on back lines of Bales & Richardson, S. W. to Cupids Cr., S.E. by S. to Hering Cr. &c. Trans, of 8 pers: 5 Negroes, Jno. Bateman, Symon Carpenter, Charges Wintell (?). JOHN MOTELY (Motly), of Wic- comico, Carpenter, 600 acs. Northum- berland Co., 13 Jan. 1661, p. 294, (400). On S. side of Wiccomico Cr. S. E. upon land of James Allen, up the horse path & S.Wly. upon land of Roger Walters &c. Renewal of patent dated ..."
THOMAS SALISBURY,400,Northumberland,1661-08-18,"THOMAS SALISBURY, 400 acs. Northumberland Co., 18 Aug. 1661, p. 294, (401). Upon the head of great Wiccomico Riv., Sly. upon Wickers branch. Trans, of 8 pers: Edward Sanders, Robert Wright, Joseph Hary, Myles Cray, Nich. Smith, Jno. Knight, Wm. Henrill (?), Francis Acton."
HUGH FOUCH,1280,Northumberland,1661-07-10,"HUGH FOUCH, 1280 acs. Northumberland Co., 10 July 1661, p. 295, (402). Beg. up Chetanck Cr., extending along a line of trees dividing this & land of Jno. Hull to Cupids Cr., thence S. &c. 800 acs. granted to them by patent dated 3 Apr. 1651 & residue for trans, of 10 pers: Jos. Smith, Fran. Jones, Wm. Hacklett, Hen. Sentence, Ann Corbell, James Peirce, Angell Corbell, Margtt. Baleor, Samll. Nicholls, Hugh Fouch."
THOMAS DORROW,138,Northumberland,1661-07-20,"THOMAS DORROW, 138 acs. Northumberland Co., 20 July 1661, p. 295, (402). Upon little Wiccocomico Riv., 100 acs. Sly. adj. land of Edward Coale, Nly. upon land now in posses- sion of Richard Spann &c. 38 acs. on Chikacone Path, S.E. by land of Hen. Smith & running to aforesd. 100 acs. 100 acs. by patent dated 10 Oct. 1652 & 38 acs. for trans, of James Herryfold (Haryfold)."
JOHN HARRIS,500,Lancaster,1661-01-11,"JOHN HARRIS, 500 acs. Lancaster Co., 11 Jan. 1661, p. 297, (404). Beg. near a path leading from the great swamp to Mr. Parrots & running along his own land. Trans. 10 pers: An Harris, Margtt Tompson, Jno. Cole, Stephen Norman, Wm. Stephens, Han- nah Mills, Jno. Hunt, Mary Tye, Henry Nicholls, Thomas Norton."
JOHN BEBEY,700,Lancaster,1661-02-13,"JOHN BEBEY, 700 acs. Lancaster Co., 13 Feb. 1661, p. 301, (411). On S. side of Rappa. Riv. about 1 mi. up Coxes Cr., formerly called Pascaticon Cr. on the E. side thereof. Renewal of patent dated 4 Oct. 1653."
