grantee,acreage,county,date,snippet
SAMLL. PARRY,1250,Lancaster,1661-01-13,"SAMLL. PARRY, 1250 acs. Lancaster Co., 13 Jan. 1661, p. 306, (419). On S. side of Pascatticon Cr., bounded on E.S.E. with land of Ralph Paine &c. Renewal of patent dated 7 Feb. 1652. EDWARD WYATT, Gent., 1230 acs. Gloster Co., 20 July 1662, p. 306, (419). Upon Peanketanke Riv., a marked tree dividing this & land of Mr. Edw. Kemp, & along Wadeing Cr. Trans, of 25 pers: Wm. Jarvis, Tho. Jones, Mary Hart. (No other names appear.) DAVID THOMAS &"
RICHARD MACUBINS,100,Lancaster,1662-07-28,"RICHARD MACUBINS, 100 acs. Lancaster Co., 28 July 1662, p. 306, (420). On N. side of Coxes Cr. & running towards land of Wm. Johnson. Granted to Randall Chumbly, 10 May 1654, as- signed to John Henly, who assigned back to sd. Chambly, who assigned to Wm. Johnson, by him assigned to Rich- ard Stephens & by him assigned to sd. Thomas & Macubin."
WOOD,800,Lancaster,1662-06-16,"WOOD, 800 acs. on N. side of Rappa. Riv. in Lancaster Co., 16 June 1662, p. 307, (421). Trans, of 16 pers: Rich. Taner, Jno. (a) Frenchman, Jno. Can- ter, John King, Jno. Cotler, Henry Tailor, John Giden, Tho. Stephens, Jacob a Negro; 7 rights by a patent of 350 acs. granted to Toby Horton 1 Feb. 1653 & by him relinquished."
THO. CHETWOOD,300,Lancaster,1662-06-16,"THO. CHETWOOD, 300 acs, on N. side of Rappa. Riv. in Lancaster Co, 16 June 1662, p. 307, (422). Upon Teages Cr, bounding upon land former- ly John Phillips. Trans, of 6 pers: Tho. Reynolds, Hen. Reynolds, Henry Parker, Jno. Aires, Joseph Baker. JOHN ASHLY (Ashley), 240 acs. on N. side of Rappa. Riv. in Lancaster Co, 16 June 1662, p. 308, (422). Up- on the head of Nanbypoyson (?) Cr. Trans, of 7 pers: Jno. Cone, John Bolton, Jno. Pritchet, Eliz. Poore, Jacob (a) Negro."
JOHN SIMPSON,600,Lancaster,1662-07-28,"JOHN SIMPSON, 600 acs. Lancaster Co, 28 July 1662, p. 310, (425). Up- on S.E. side of Moratticon Cr. & W.S. W. upon land of Lambert Lamberton & Rich. Hatton. Granted to Alexander Pourteous 6 Oct. 1656 & assigned to sd. Simpson."
COL. VALENTINE PAYTON,1600,Westmoreland,1662-07-20,"COL. VALENTINE PAYTON, 1600 acs. Westmoreland Co, 20 July 1662, p. 400 Cavaliers and Pioneers 310, (426). On S. side of Patomecke Riv., beg. at a small branch of Oquia Riv., W.S.W. along land of Capt. Mason &c. Granted to Robert Hubberd 12 Dec. 1654 & by him assigned."
WILLIAM WALKER,839,Northumberland,1662-10-30,"WILLIAM WALKER, 839 acs. Northumberland Co., 30 Oct. 1662, p. 311, (427). 639 acs. S.Ely, upon Yeo- comoco Riv., S.Wly. upon land of Rich- ard Holder ;& 200 upon a creek towards John Earles plantation, which 200 acs. is comonly called Bloyces land. Re- newal of patent dated 24 Oct. 1655."
MR. GEORGE WHALE,1400,Lancaster,1662-10-10,"MR. GEORGE WHALE, 1400 acs. Lancaster Co., 10 Oct. 1662, p. 311, (427). 600 acs. on S. side of Corato- man Cr. being the next Cr. Nly. to Haddawaies Cr., S. Ely. upon land sur- veyed for Toby Horton by some called Mr. Wetherlies land & S.Wly. upon land of John Taylour, dec'd. 300 acs. near the glade above Wiccocomoco In- dian Towne, adj. to S. side of land of Jno. Cossens & Thomas Steed, E. by S. to 500 acs. assigned to sd. Wale by Gervase Dodson; 300 acs. near the head of a Cr. by some called C..."
JOHN COX,1150,Lancaster,1662-08-28,"JOHN COX, 1150 acs. Lancaster Co., 28 Aug. 1662, p. 312, (428). On S. side of Rappa. Riv. & N.W. side of Piscaticon Cr., beg. on a peninsula called Coxes Island, running to N.W. side of Hodgkins Cr. & by the mouth of a branch dividing this from land of William Johnson. 1000 acs. granted him 1 May 1650 & 50 acs. found to be wanting within the same; & 100 acs. for trans, of 2 pers: Judeth Holman & Eliz. Newsom."
RICHARD BROWNE,300,Westmoreland,1661-01-01,"RICHARD BROWNE, 300 acs. Westmoreland Co., 4 Sept. 1661, p. 313, (430). 100 acs. on S. side of Hallowes Cr. & 200 acs. upon Hollis Cr. including a small island, Wly. upon land of Tho. Blagg, Ely. towards land of little Browne & Sly. upon a swamp by Nangatico path. 200 acs. by patend dated 13 Sept. 1654 & 100 acs. for trans, of 2 pers: Mary Phillips & Susan Jones. THO. LETHERBURY &"
MR. RICHARD PARROTT,300,Lancaster,1662-03-20,"MR. RICHARD PARROTT, 300 acs. Lancaster Co., 20 Mar. 1662, p. 319, (438). Formerly granted unto Minor Minson, lately found to escheat & now granted sd. Parrott who hath made his composition to be paid according to act. SAME. 800 acs. Same county, date and Page. Formerly granted unto Tho- mas Dale &c. as above. SAME. 300 acs. on S. side of Rappa. Riv., beg. at a poynt on Ewd. side of Fishing Cr. & at the miles end of his own land. 16 Jan. 1661, p. 319, (438). Granted sd. Parrott 6 Oct. 1657 & by ..."
SYMON RICHARDSON,384,Westmoreland,1661-07-10,"SYMON RICHARDSON, 384 acs. Northumberland Co., 10 July 1661, p. 321, (440). Beg. on Herring Cr. divid- ing this & land of Major George Col- clough, extending along Patomeck Riv. N.W. by W. to a pond dividing this & land of John Bales &c. 300 acs. granted to John Hailes & Thomas Sheppard 16 Sept. 1651, by them assigned unto Cle- ment Carbill & Samll. Nicholls, by Nicholls assigned unto John Hany, who assigned to John Raven & Thomas Rowe; sd. Raven assigned his part to sd. Rowe, who assigned to Sy..."
RICHARD NORMANSELL,2550,Northumberland,1666-06-05,"RICHARD NORMANSELL, 2550 acs. Staff. Co., 5 June 1666, p. 323, (443). On N.W. side of Potomack Riv. on the maine run of Pohick Cr. Trans, of 51 pers: Tho. Durant, James Banns, Jno. Stone, Robt. Durner, Wm. Castro (or Carter), Jno. Redock, Tho. James, Tho. Norrich, Edw. Cooke, Matt. Hutson, Stephen Coleman, Robt. Weddge, Wm. Dolton, George Greene, Wm. Bond, James Porter, Johannah Browne, May Birch, Tho. Metchalfe, Wm. Fox, Tho. Betchman, Tho. Dunce, Eliz. Gardner, James Harny, Xtopr. Wood, Patric..."
GEORGE SMITH,1020,Westmoreland,1662-10-20,"GEORGE SMITH, 1020 acs. New Kent Co., 20 Oct. 1662, p. 326, (445). 850 acs. on S. side of Yorke Riv., run- ning to a branch near Rockahock path to Chikahomani fort & from sd. Smith's now dwelling house, & 170 acs. on N. side of Dyascun Sw, running to Pullams corner &c. 850 acs. by patent 8 Sept. 1657 & 170 acs. for trans, of 4 pers: Nicholas Jnoson (Johnson), Joseph Cort, Peter Francklin, Jno. Lincolnshire. WILL DRUMMOND, Gent., 4750 acs. Westmoreland Co., 20 Sept. 1661, p. 326, (446). Beg. a mi..."
MR. RICHARD BUSHROD,2000,Westmoreland,1660-10-15,"MR. RICHARD BUSHROD, 2000 acs. Westmoreland Co., 15 Oct. 1660, p. , (450). Opposite against the Patent Book No. 4 405 Myampses Island, commonly called the Dogs Island, bounding W. & N. upon Potomeck Riv. 1000 acs. patented by Col. Speake 11 Oct. 1653 & granted sd. Bushrod by order of Councill & the residue for trans, of 40 pers.* (Muti- lated.)"
MR. JOHN APPLETON,1000,Lancaster,1661-05-15,"MR. JOHN APPLETON, 1000 acs. Lancaster Co., 15 May 1661, p. (473). On the S. of Rappa. Riv. & N. side of the great swamp, Wly. from land of John Howard, N. towards the bay of Clifts & S.E. down the neck. Granted to Miles Dixon, gent., 8 Dec. 1656, by him relapsed for want of seating, & now granted by order &c, & due for trans, of 20 pers.*"
WM. BLAZE,250,Lancaster,1662-12-31,"WM. BLAZE, 250 acs. Lancaster Co., 31 Dec. 1662, p. 35, (480). On S. side of Rappa. Riv. adj. land of John Sharpe. Granted to John Robinson 29 Nov. 1652, assigned to John Hudson, who sold to sd. Blaze. To all &c. Whereas his most Ex- cellent Majty. did by his Letters patterns beareing date the 22th day of Septem- ber 1650 give & grant unto his Trusty Subject and Servt. HENRY NOR- WOOD, Esqr., the office of being his sd. Majtye. Treasurer of Virginia *** & whereas the sd. Henry Norwood hath by hi..."
JOHN CHINLEY,2100,Lancaster,1663-01-01,"JOHN CHINLEY, 2100 acs. Rappa. Co., 4 Sept. 1663, p. 37, (482). Adj. land of Cha. Grimes. Trans, of pers. Rights out of a relinquished patent dated 29 July 1663 in their names for 2000 acs. Tho. Bacon, Will. North. (Note: These are the only names ap- pearing and presumably are for the 100 acs. remaining). SAME. 3100 acs. Same Co., page, & date. Rights for 3000 acs.to be taken out of patent relinquished, dated 29 July 1663. Margery Atkins, Tho. Webb. (Note: 100 acs. same as above). MR. DAVID FOX,..."
MAURICE COCK,600,Lancaster,1663-08-25,"MAURICE COCK, 600 acs. Lancaster Co., 25 Aug. 1663, p. 38 (483). 300 acs. on S. side of Rappa. Riv. bounding on land of Randolph Chamlett, now in possession of Jno. Jadwin. 300 acs. granted to Fra. Browne 18 June 1652 & sold to sd. Nicholas & 300 acs. due for trans, of 6 pers:* Ellin Franklin, Eliza. King. MATHEW KEMP & PETER JEN- NINGS, Gent., 1000 acs. Lancaster Co., 10 Sept. 1663, p. 39 (484). Upon N. W. branch of Corotoman Riv. & S.E. along land of John Nicholls. Granted to Eanoch Hawker & A..."
SIR WILLIAM BERKELEY,5062,Lancaster,1662-10-27,"SIR WILLIAM BERKELEY, 5062 acs. James Citty Co., between the heads of Pohatan Sw. & Jones Cr. 27 Oct. 1662, p. 56 (508) (5 Mar. 1658.) COLL JOHN CARTER, Esqr., 450 acs. Lancaster Co., adj. land of Thomas Chetwood. 25 Sept. 1661, p. 56 (509.) Trans, of 9 pers.*"
GERRARD BROADHURST,500,Westmoreland,1662-12-09,"GERRARD BROADHURST, 500 acs. Westmoreland Co., 9 Dec. 1662, p. 79 (553). Upon S. side of Petomake Riv. & upon N.E. side upon head of Chapa- wansick Cr., S.E. upon land of Mr. Nich. Pope. (Walter Broadhurst, deed., father of Gerrard, 4 Sept. 1655, & given by will to sd. Gerrard.)"
ANTHONY LENTON,1425,Northumberland,1662-12-06,"ANTHONY LENTON, 1425 acs. Northumberland Co., 6 Dec. 1662, p. 82, (559). Upon land of Jno. Meekes & Wm. Newman, Nly. on Yeocomoco Riv., Sly. upon broad cr. &c, & adj. land surveyed for Mr. Bacon. (1025 acs. 1 Aug. 1653; 400 acs. 1 Dec. 1657.)"
GEORGE PICKARIN,450,Northumberland,1662-02-04,"GEORGE PICKARIN, 450 acs. Northumberland Co., 4 Feb. 1662, p. 85 (567). Upon S.W. side & towards the head of lower Chotanke Cr., op- posite to land of James Magregorie & Fowches. Granted to James Magregory & Hugh Fowch, 11 June 1658; assigned to Allex. Macoter, who assigned to Charles Hoyle & by him to sd. Pickerin. ROGER WALTERS, 1,000 acs. Northumberland Co., 2 Mar. 1662, p. 85 (568). N. side of Wiccocomoco Riv. upon St. Johns Cr. dividing lands Patent Book No. 4 423 of Tho. Saffall & Wm. Thom..."
MR. THO. GERRARD,1000,Stafford,1662-01-09,"MR. THO. GERRARD, 1000 acs. N'thumberland Co., 9 Jan. 1662, p. 90 (578). S. side of Petomecke Riv., N. & N. E. upon Machotique Cr., opposite land of Geo. Ludlow, Esqr., E. & S.E. JOHN ALEXANDER, one-half of 3,900 acs., formerly granted unto John Bagnall & John Wallton, & by Bagnall assigned unto Edmond Scarburgh, 13 Aug. 1656, who assigned to sd. Alexan- der, 10 Mar. 1659, both of which are recorded in the Secretaries Office; sd. land scituate in Potowmack Riv. att a place called Pochink (or Poc..."
THOMAS PAINE,600,Lancaster,1662-03-18,"THOMAS PAINE, 600 acs. Lancaster Co., 18 Mar. 1662, p. 101 (596). Up- on S. side of Rappa. Riv., & N.W. side of the present plantation of James Bag- nail, about 43 miles up the river, beg. upon the N.W. side of the Cr. dividing this & land of John Bagnall &c. Re- newal of patent dated 27 Jan. 1652."
JOHN PAINE,406,Lancaster,1664-06-01,"JOHN PAINE, 406 acs. N'umberland Co., 1 June 1664, p. 110 (608). Beg. on the head of a small Cr. of Machotick Riv., bounding on E. with land of Coll. Lee, Esqr., S.S.W. &c. to land of Wal- ter English. 300 acs. purchased of James Hawley & 100 acs. for trans, of 2 pers: Wm. Young, Jno. Forby. HENRY CORBIN (Corbyn), Esqr., 3000 acs. in Potomack freshes, between the two main branches, towards Home Island, 27 Nov. 1663, p. 110 (608). Granted said Corbin & Gerrard Fowke, 15 Mar. 1658; Fowke relinquis..."
GEORG MARISH,420,Stafford,1664-08-19,"GEORG MARISH, 420 acs. Rappa. Co., S. side of Rappa. Riv., 19 Aug. 1664, p. 112 (610). Backing land of Coll. Richard Lee & Anthony Jackman &c. Trans, of 9 pers: Rachaell Collins, Jno. Connagen, Ed. Overy, Do. Plum- mer, Hen. Pulman, Wm. Potter, Arthur Symons, Jno. Vaughan, George Price. WILLIAM CARDWELL (Cordwell), 330 acs. Stafford Co., 23 Mar. 1664, p. 112. (611). N.E. with land of Col. Gerrard Fowke & Mr. Richard Heaberd, S.E. with the Doegs Cr. &c. Trans, of 7 pers: Wm. Cordwell, Senr., Marg..."
THOMAS KIDD,194,Lancaster,1664-04-07,"THOMAS KIDD, 194 acs. Lancaster Co., 7 Apr. 1664, p. 116, (616). At the head of Burnhams alias Sunderland Cr., upon a br. of Peanketanke Sw. called White oake br., beg. on Matta- pony upper path, running N.E. &c. to land of Robt. Chowning & Tho. Patti- son, thence S. &c. Trans, of 4 pers: Wm. Bennett, Robt. Hooper, Robt. Sansnery, Samll. Peachy."
COLL. PETER ASHTON,2550,Stafford,1665-03-27,"COLL. PETER ASHTON, 2550 acs. Stafford Co., 27 Mar. 1665, p. 119, (620). Beg. on the W. side of a Sw. on the W. side of the Taylors feild, adj. land formerly in possession of the King of Potomack, E. to a br. of Potomack Riv., running S. to line deviding this & land of Mr. James Gaylor &c. to land of Mr. Robert Osborne, crossing Macho- tick dams &c. 550 acs. granted to Wm. Parry, 11 Nov. 1651, by him assigned unto Thomas Coniers & ordered to be pattented in his name, 'by order of the Quarter Ct...."
MR. JOHN APPLETON,400,Lancaster,1664-06-02,"MR. JOHN APPLETON, 400 acs. Lancaster Co., in the freshes of Rappa. Riv. & about 14 mi. above Nanzemon towne, 2 June 1664, p. 123, (626). Beg. at a Cr. divding this & land of Mr. John Batts & John Phillips &c. Granted to John Sharpe, 14 June 1655, but never seated & by him deserted; granted sd. Appleton by order &c, dated 29 Mar. 1664. Note: The fol- lowing names appear under this record: Richard West, Eliz. Wright, Ed. Per- kenson, Geo. Peirce, Mathew White, Margett Would, Eliz. Paine, Rich. Ha..."
MR. ROBERT JONES,400,Lancaster,1664-06-08,"MR. ROBERT JONES, 400 acs. N. side of Lancaster Co., 8 June 1664, p. 123, (627). Bounding on land of Wm. Ironmonger, Tho. Chettwood & Wm. Thatcher. Trans, of 8 pers: Tho. Richman, Jeffry Chapman, Jane Thomas, Jane Bateman, James Mathewes, Robt. Jones, Wm. Lett, Jno. Smith. WILLIAM THATCHER & WIL-"
HUGH BRENT,200,Lancaster,1664-05-06,"HUGH BRENT, 200 acs. Lancaster Co., on Hadawaies Cr. & Corotoman Cr. in Fleets bay, 6 May 1664, p. 124, (627). Said land formerly joyned to a patent of 400 acs. in the names of sd. Brent & Eppha. Bonison, dated 10 Mar. 1662, & this 200 acs. being his part of sd. pattent. Marginal Note: This pattent with the other two underneath all passed in one, 29 June 1666. SAME. 100 acs. in same location. 10 July 1663, p. 124, (628). Trans, of 2 pers: Wm. Lumpton, Thomas Brom- stead. HUGH BRENT &"
JOHN WELLS,200,Lancaster,1662-07-18,"JOHN WELLS, 200 acs. N. side of Lancaster Co., 18 July 1662, p. 125, (629). 100 acs. due for trans, of 2 pers.* and 100 acs. granted to Jno. Phillips, 23 July 1653 & by him as- signed to sd. Phillips. WILLIAM COOKE, TOHN POT- TER. FDWARD KING &"
SAMUELL GOUGH,450,Lancaster,1663-12-12,"SAMUELL GOUGH, 450 acs. on Eastermost br. of Corrotoman Riv., Lancaster Co., 12 Dec. 1663, p. 125, (629). Bounded upon land of Thomas Chetwood. Granted to Coll. John Carter, Esar., 25 Sept. 1661, by him assigned to Thomas Marshall 14 May 1662, who assigned one moiety to sd. Cooke & Potter; the other half assigned to Wm. Hutchins, who assigned to sd. King & Gooch. ("
TOHN CHINN,100,Lancaster,1664-08-24,"TOHN CHINN, 100 acs. Lancaster Co., 24 Aug. 1664, p. 125, (630). Upon Morrattico Cr., adj. his own & land of Henry Davis. Trans, of 2 pers: James Potter, Thomas Coate."
WILLIAM THOMAS,100,Lancaster,1663-01-01,"WILLIAM THOMAS, 100 acs. Lan- caster Co., on N. side of Rappa. Riv., 11 Feb .1663, p. 126, (630). Beg. on the head of Powells Cr. Renewal of pattent dated 13 July 1653. (Marginal note gives this name as Wm. Thomas, Junior). WILLIAM THOMAS, Senior, 150 acs. on N. side of Rappa. Riv., Lancaster Co., 10 July 1663, p. 126, (631). On the head of Powells Cr. Trans, of 3 pers: Kath. Jones, Jno. Brunstell, Ann Hyne."
JOHN RAYNEY,171,Lancaster,1663-12-16,"JOHN RAYNEY, 171 acs. Lancaster Co., on N. side of Rappa. Riv., 16 Dec. 1663, p. 126, (631). Beg. at the head of land of Rawleigh Travers, extending from W. side of a Cr. deviding this & land of Tho. Powell, running E. by N. &c. Said land granted to Alexander Portus & Tho. Williams, 20 Nov. 1654; sd. Williams assigned his interest to sd. Portus, who assigned same to Ben. Whiscomb & Joseph Allen, by whom it was assigned to sd. Rayney."
JOHN CABLE,250,Lancaster,1664-06-20,"JOHN CABLE, 250 acs. Lancaster Co., on S. side of Rappa. Riv. & on the side of Coxes Cr., 20 June 1664, p. 127, (631). Beg. at upper side of 150 acs. surveyed for Daniell Batts, running by the side of a Cr., deviding this & land of Ralph Payne, S. S. W. &c. Re- newal of his pattent dated 9 Oct. 1653."
HUGH BRENT,200,Lancaster,1662-03-18,"HUGH BRENT, 200 acs. Lancaster Co., 18 Mar. 1662, p. 128, (633). In Fleets bay, S. upon Haddawayes Cr., W. upon sd. Cr., including three Indian Cabbins. Granted Capt. Henry Fleet, 1 Aug. 1652, assigned unto John Sharpe, who sold to sd. Brent."
CHARLES HILL,590,Lancaster,1663-01-26,"CHARLES HILL, 590 acs. Lancaster Co., on S. side of Rappa. Riv., 26 Jan. 1663, p. 128, (624). 450 acs. bounded on the N.N.W. side with land of Wm. Tidner, on the E.N.E. with Thomas Dale & S.S.E. with a br. of Bonners Cr; 140 acs. with a br. of Bonners Cr. &c. Renewal of his pattent dated 6 Mar. 1655."
TOBIAS HORTON,600,Lancaster,1662-03-18,"TOBIAS HORTON, 600 acs. Cum- berland Co., 18 Mar. 1662, p. 128, (634). Upon the N. part of Fleets bay, about half a mile up Haddawayes Cr. Granted to Thomas Humphries, 1 Sept. 1654 & assigned to sd. Horton. JOHN TAYLOR (Taylour), 100 acs. Lancaster Co., 18 Mar. 1662, p. 129, (634). E. upon a Cr. of Fleets bay, S. towards his own plantation &c. Renewal of pattent dated 17 Nov. 1652. SAME. 400 acs., same Co., date & page, (635). N. side of Rappa. Riv. upon the head of Fleets neck Renewal of patten..."
WILLIAM IRONMONGER,700,Lancaster,1663-12-12,"WILLIAM IRONMONGER, 700 acs. Lancaster Co., 12 Dec. 1663, p. 129, (635). Upon the head of the Easter- most br. of Corrotoman Riv., N.E. by N. to a path nere the mouth of a swamp, which is knowne by the name of Morratico & Wiccomcomico Path &c. Granted to Thomas Graves, 20 Mar. 1661, made over to John Edwards by bill of sale dated 14 May 1662, who assigned to sd. Ironmonger."
MR. JOHN APPLETON,1000,Lancaster,1661-05-15,"MR. JOHN APPLETON, 1000 acs. Lancaster Co., on S. side of Rappa. Riv., 15 May 1661, p. 130, (636). On the N. side of the great Swamp lying Wly. from land of John Heyward & E. to- wards the Bay of Clifts. Granted to Miles Dixon, Gent., 8 Dec. 1656 & now relapsed for want of seating; granted sd. Appleton by order &c. due for trans. of 20 pers.*"
HUMPHRY JONES,300,Lancaster,1663-02-16,"HUMPHRY JONES, 300 acs. Lancaster Co., 16 Feb. 1663, p. 131, (637). Beg. upon a br. of Powells Cr., running Ely. &c. to land of Robt. Kemp, thence due S.S.W. &c. Trans, of 6 pers: Mary Wise, Ann Hart, Wm. Broughton, Stephen Goodlad & 2 Negroes. EPPY. BONISON (Bonyson), 400 acs. Lancaster Co., 17 Aug. 1664, p. 131, (638). On S.W. side of a maine Cr. of Fleets bay, dividing this from land of Toby Horton & John Taylour, S. upon a small br. of sd. crrek next to land seated by Thomas Salisbury, but n..."
CIS BROWNE,200,Lancaster,1662-03-18,"CIS BROWNE, 200 acs. Lancaster Co., 18 Mar. 1662, p. 131, (638). Beg. by the river side, running W.S.W. &c. to land of John Moore, by the maine river to Sandy poynt Cr. &c. Renewal of pattern dated 31 Jan. 1653."
FRANCIS BROUGHTON,300,Lancaster,1663-03-17,"FRANCIS BROUGHTON, 300 acs. Lancaster Co., 17 Mar. 1663/4, p. 133, (640). On S. side of Rappa. Riv., adj. land of Rich- ard Lewis. Trans, of 6 pers: Wm. Linton, Jane Flod, Robt. Foard, Robt. Napes, Mary Coleman, Jonathan Marrow."
JOHN SIMPSON,600,Lancaster,1662-07-28,"JOHN SIMPSON, 600 acs. Lancaster Co., 28 July 1662, p. 133, (641). On S.S.E. side of Moratticon Cr. &c, W. S.S. upon land of Lambert Lamberton & Richard Hatton. Renewal of pattern dated 6 Oct. 1656."
MR. JOHN APPLETON,1000,Lancaster,1664-10-03,"MR. JOHN APPLETON, 1000 acs. Lancaster Co., 3 Oct. 1664, p. 135, (642). On N. side of Peancketanck Riv., below the Horse poynt nere a small branch &c. to line parting this & land of Capt. Brocas' Timber necke, thence S.W. &c. to land of John Jack- son &c. 528 acs. purchased of Mr. Cut- bert Potter, who purchased of Dennis Coniers; & 472 acres for trans, of 10 pers: Jno. Read, Rich. Appleby, Wm. Blackford, Rich. Collins, James Tomp- son, Henry Piatt, Stephen Canon (or Canow), Rich. Pert, Isa. How..."
